,,,openInterest,openInterest,volume,volume
optionType,,,calls,puts,calls,puts
symbol,strike,expiration,,,,
AAPL,150.0,2025-09-19,8.0,473.0,1.0,4.0
AAPL,150.0,2025-12-19,2556.0,4425.0,20.0,2.0
AAPL,150.0,2026-01-16,690.0,1744.0,5.0,12.0
AAPL,150.0,2026-06-18,147.0,100.0,39.0,10.0
AAPL,152.5,2024-01-26,1.0,1619.0,0.0,2195.0
AAPL,152.5,2024-02-02,,3.0,,1.0
AAPL,155.0,2024-01-26,42.0,479.0,8.0,258.0
AAPL,155.0,2024-02-02,152.0,596.0,111.0,62.0
AAPL,155.0,2024-02-09,931.0,453.0,1.0,36.0
AAPL,155.0,2024-02-16,822.0,3955.0,10.0,145.0
AAPL,155.0,2024-02-23,15.0,201.0,1.0,25.0
AAPL,155.0,2024-03-01,1.0,110.0,1.0,6.0
AAPL,155.0,2024-03-15,2644.0,14654.0,10.0,126.0
AAPL,155.0,2024-04-19,679.0,5149.0,28.0,31.0
AAPL,155.0,2024-05-17,174.0,505.0,22.0,28.0
AAPL,155.0,2024-06-21,4532.0,11796.0,31.0,30.0
AAPL,155.0,2024-07-19,121.0,373.0,6.0,9.0
AAPL,155.0,2024-08-16,180.0,253.0,1.0,5.0
AAPL,155.0,2024-09-20,1919.0,5418.0,4.0,84.0
AAPL,155.0,2024-12-20,342.0,1995.0,12.0,7.0
AAPL,155.0,2025-01-17,3927.0,12547.0,536.0,242.0
AAPL,155.0,2025-06-20,1305.0,1531.0,4.0,4.0
AAPL,155.0,2025-09-19,51.0,112.0,1.0,31.0
AAPL,155.0,2025-12-19,793.0,1382.0,13.0,6.0
AAPL,155.0,2026-01-16,178.0,599.0,2.0,9.0
AAPL,155.0,2026-06-18,148.0,30.0,2.0,1.0
AAPL,157.5,2024-01-26,,392.0,,15.0
AAPL,157.5,2024-02-02,1.0,231.0,1.0,139.0
AAPL,160.0,2024-01-26,91.0,1669.0,75.0,12.0
AAPL,160.0,2024-02-02,33.0,1862.0,3.0,69.0
AAPL,160.0,2024-02-09,175.0,441.0,1.0,39.0
AAPL,160.0,2024-02-16,4721.0,21608.0,227.0,1699.0
AAPL,160.0,2024-02-23,52.0,784.0,2.0,86.0
AAPL,160.0,2024-03-01,31.0,593.0,11.0,32.0
AAPL,160.0,2024-03-15,7164.0,18984.0,361.0,769.0
AAPL,160.0,2024-04-19,1432.0,5054.0,13.0,124.0
AAPL,160.0,2024-05-17,170.0,856.0,29.0,12.0
AAPL,160.0,2024-06-21,12719.0,20432.0,29.0,94.0
AAPL,160.0,2024-07-19,297.0,1455.0,2.0,19.0
AAPL,160.0,2024-08-16,13.0,309.0,2.0,12.0
AAPL,160.0,2024-09-20,980.0,11662.0,1.0,56.0
AAPL,160.0,2024-12-20,674.0,6039.0,24.0,29.0
AAPL,160.0,2025-01-17,11563.0,21921.0,115.0,655.0
AAPL,160.0,2025-06-20,2318.0,2351.0,1.0,1.0
AAPL,160.0,2025-09-19,57.0,227.0,1.0,5.0
AAPL,160.0,2025-12-19,1658.0,4936.0,21.0,24.0
AAPL,160.0,2026-01-16,511.0,1011.0,31.0,5.0
AAPL,160.0,2026-06-18,105.0,111.0,10.0,4.0
AAPL,162.5,2024-01-26,2.0,398.0,2.0,16.0
AAPL,162.5,2024-02-02,3.0,198.0,1.0,60.0
AAPL,165.0,2024-01-26,165.0,3027.0,30.0,184.0
AAPL,165.0,2024-02-02,60.0,2412.0,15.0,141.0
AAPL,165.0,2024-02-09,55.0,1378.0,7.0,659.0
AAPL,165.0,2024-02-16,2700.0,16029.0,30.0,8941.0
AAPL,165.0,2024-02-23,72.0,665.0,12.0,102.0
AAPL,165.0,2024-03-01,17.0,251.0,1.0,109.0
AAPL,165.0,2024-03-15,3422.0,13747.0,68.0,1009.0
AAPL,165.0,2024-04-19,3438.0,6907.0,119.0,382.0
AAPL,165.0,2024-05-17,261.0,1371.0,9.0,98.0
AAPL,165.0,2024-06-21,5058.0,16261.0,82.0,42.0
